,class,tweet
0,other,  mayasolovely as a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out
1,offensive language,  mleew17 boy dats coldtyga dwn bad for cuffin dat hoe in the 1st place
2,offensive language,  urkindofbrand dawg  80sbaby4life you ever fuck a bitch and she sta to cry you be confused as shit
3,offensive language,  c_g_anderson viva_based she look like a tranny
4,offensive language,  shenikarobes the shit you hear about me might be true or it might be faker than the bitch who told it to ya 57361
5,offensive language,t_madison_x the shit just blows meclaim you so faithful and down for somebody but still fucking with hoes 128514128514128514
6,offensive language,__brighterdays i can not just sit up and hate on another bitch  i got too much shit going on
7,offensive language,8220selfiequeenbri cause im tired of you big bitches coming for us skinny girls8221
8,offensive language, amp you might not get ya bitch back amp thats that 
9,offensive language," rhythmixx_ hobbies include fighting mariam

bitch"
10,offensive language, keeks is a bitch she curves everyone  lol i walked into a conversation like this smh
11,offensive language, murda gang bitch its gang land 
12,offensive language, so hoes that smoke are losers   yea  go on ig
13,offensive language, bad bitches is the only thing that i like 
14,offensive language, bitch get up off me 
15,offensive language, bitch nigga miss me with it 
16,offensive language, bitch plz whatever 
17,offensive language, bitch who do you love 
18,offensive language, bitches get cut off everyday b 
19,offensive language, black bottle amp a bad bitch 
20,offensive language, broke bitch cant tell me nothing 
21,offensive language, cancel that bitch like nino 
22,offensive language, cant you see these hoes wont change 
23,offensive language, fuck no that bitch dont even suck dick  128514128514128514 the kermit videos bout to fuck ig up
24,offensive language, got ya bitch tip toeing on my hardwood floors  128514 httptcocou2wq5l4q
25,offensive language, her pussy lips like heaven doors  128524
26,offensive language, hoe what its hitting for 
27,offensive language, i met that pussy on ocean dr  i gave that pussy a pill  128524
28,offensive language, i need a trippy bitch who fuck on hennessy 
29,offensive language, i spend my money how i want bitch its my business 
30,offensive language, i txt my old bitch my new bitch pussy wetter 
31,offensive language, id say im back to the old me but my old bitches would get excited  128524
32,offensive language, if you aint bout that murder game pussy nigga shut up 
33,offensive language, if youre toes aint done you pussy stinks 
34,offensive language, im done with bitter bitches its a wrap for that  if you a angry bird theres a app for that 
35,offensive language, is that ya bitch 
36,offensive language, it aint nothing to cut a bitch off 
37,offensive language, jus meet son now he ya mane ass bitches  shots
38,offensive language, lames crying over hoes thats tears of a clown 
39,offensive language, like snoop said in 94 we dont love these hoes 
40,other, momma said no pussy cats inside my doghouse 
41,offensive language, most hated but the hoes favorite  2mw sevenone  httptcobmdsvmc3rc
42,offensive language, nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick httptcobzrdl3kf7u
43,offensive language, pimps up pimps up hoes down  future voice
44,offensive language, post a picture of that pussy get 200 likes 
45,offensive language, pussy is a powerful drug  128517 happyhumpday httptcor8jsymib5b
46,offensive language, quick piece of pussy call it a drive by 
47,offensive language, running round here like some brand new pussy thats bout to get fucked 
48,offensive language, these bitches even worst theyll send them guys for you 
49,offensive language, these hoes like niggas that spend money not talk bout it 
50,offensive language, we dont trust these niggas all these bitches 
51,offensive language, yall niggas b cuffing hoes cause yall aint never have bitches 
52,offensive language, you dodge a bullet  128517 8220darealkha all da bitches i cut off pregnant or bound to be thank god 1285918221
53,offensive language, young pill chamberlain these bitches love my music 
54,offensive language,128514128514128514128514128514128514128514128514128514128514128514vandalsavage_ teanna trump probably cleaner than most of these twitter hoes but
55,offensive language,128514128514128514128514128514128514128514128514128514128514dahomiefuzz gay niggas couldnt wait to act like bitches tonight
56,offensive language,128514128514128514the_paradox and ima steal his cat n replace it with a pitbull 128514128514128514128514  80sbaby4life the_paradox he a bitch you should do it
57,offensive language,amp hes gone always be a hoe
58,offensive language,"son of a bitch took my tic tacs

i like this movie"
59,offensive language,all i wanna do is get money and fuck model bitches  russell simmons
60,offensive language,2015seniorprobs i probably wouldn8217t mind school as much if we didn8217t have to deal with bitch ass teachers retweet
61,offensive language,a7xdemery im a fucking fag they said
62,offensive language,arizzleindacut females think dating a pussy is cute now httptcovxbjg26gsz how does doing this stuff make him a pussy
63,other,addicted2guys simplyaddictedtoguys httptco1jl4hi8zmf woof woof hot scally lad
64,offensive language,adorebellaaa have ya ever asked your bitch for other bitches  kanye voice yes
65,offensive language,adorezoey how u gone bring ur side bitch to a game where you know ya gf friends at  128553128553128553128553 i swear
66,other,allaboutmanfeet httptco3gzupfumev woof woof and hot soles
67,other,allyhaaaaa lemmie eat a oreo amp do these dishes one oreo lol
68,offensive language,almightywayne__ jetsandaswisher gook____ bitch fuck u httptcopxmga68nc1 maybe youll get better just httptcotprevwfq0s
69,offensive language,almightywayne__ fuck red malone man bitch ass niggah could you please use complete sentences
70,other,arizonasfinest6 why the eggplant emoji doey he say she looked like scream lmao
71,offensive language,autoworid hennessey venom gt 128584 httptcoi8egmnkaj9 thats one sexy bitch
72,offensive language,bossbytchh him seh me pussy wetter then a shower cuainahmesehwetnessltlmao
73,offensive language,bro_hen314 eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit
74,offensive language,"bvsedchink yo fuck skateboarding all yall some wood pushing faggots man ball is life httptcovbczp6hmt7
amjemiebenn"
75,other,"babyanimalpics baby monkey bathtime httptco7kpwadlf0r
awwwwe this is soooo adorable"
76,offensive language,baylaagottabody 128514128514128514128514 i aint shit  damn skippy lol
77,offensive language,beeasyjrizzy u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyno bs must b gt30chance
78,offensive language,beenbasedb _kudabrazyy httptcoluubgl9y5u 0 rings 0 mvps 0 bitches lol
79,offensive language,beenflynsolo ppl talk bad about the ghettohood  but as a kid growing up a nigga had funnnnnnn 
80,offensive language,bestproadvice the facts on tattoostattoo httptcozwnbhpdz8e hes a pussy with not tattooing them nipples
81,offensive language,bill215_ 128175128175128175  nel_ayden bitches be wanting to act like niggas so bad 128553128553128553 that shit aint cuteeeee but niggas act like bitches
82,offensive language,bitchjones92 get worshiping bitch httptcor37cejcjou woof woof
83,offensive language,blackchiquitita wow  thatmanpalmer im lost are those buttcheek piercings httptcoyn6guyouq6 yeah shes a hoe
84,offensive language,blacknerdjade ok sis shed rather be a broke bitch shrugs shell have to tell me how it works for her
85,hate speech,blackman38tide whalelookyhere howdydowdy11 queer gaywad
86,offensive language,brokenpiecesmsc itsnotadam faggot read my tweets after dat k it wasnt even funny lol
87,offensive language,brosconfessions this bitch was so ungrateful httptco06e77bgwbx fr  lulwhore
88,offensive language,cashandboobies i been kidnapped yo bitch
89,hate speech,cb_baby24 white_thunduh alsarabsss hes a beaner smh you can tell hes a mexican
90,offensive language,ccobey aydanmccoy happy bihday nigs thanks yo
91,offensive language,chlldhoodruiner when ur teacher tells u that u have homework httpstcorkk5vawij1 this bitch need to go
92,offensive language,caelang15 22edham caelang15 that nigga was eating that hoe lol hell yea lol john paul nigga said john paul httptcoosipbkpr9h
93,offensive language,canifuckornah what would yall lil ugly bald headed bitches do if they stop making makeup amp weave
94,offensive language,carelessone92 leafs better win this damn game so i can go riot and shit earlychristmas you better sta looting my nig
95,offensive language,causewereguys going back to school sucks more dick than the hoes who attend it
96,offensive language,causewereguys on my way to fuck yo bitch httptcoj906t5ze2r me as a 9 year old
97,offensive language,celeynichole white_thunduh how come you never bring me food i dont have a car retard
98,offensive language,chadmfverbeck if richnow doesnt show up with hella tinder hoes im not his friend anymore chill i brought like like 8 prople
99,offensive language,chandlerparsons how bout them cowboys shutup pussy
100,offensive language,clicquotsuave lmaooooooooooo this nigga krillz_nuh_care httptcoaanpsujmyi ltbitch want likes for some depressing shitfoh
101,offensive language,coley_cee lil_aerii girl you know i was spitting that g shit to you amp you was going lbvsbitch plz
102,offensive language,coley_cee let me make a couple tweets off cuzzo page so i wont get in twitter jaillmao bitch dont trick me again
